Ticker,Weights %
ABB.ST,6.084846
ALFA.ST,3.3412576
ASSA-B.ST,2.2223656
ATCO-A.ST,3.5909877
ATCO-B.ST,1.3595269
AZN.ST,2.3742428
BOL.ST,1.0667663
ELUX-B.ST,0.39884835
ERIC-B.ST,0.70540386
ESSITY-B.ST,0.65806407
EVO.ST,1.3953445
GETI-B.ST,0.54371345
HEXA-B.ST,0.755278
HM-B.ST,3.9729152
INVE-B.ST,36.12561
KINV-B.ST,0.087248735
NDA-SE.ST,0.1869321
NIBE-B.ST,0.42181695
SAAB-B.ST,16.736446
SAND.ST,0.18406795
SBB-B.ST,0.6692231
SCA-B.ST,1.1665065
SEB-A.ST,2.0758965
SHB-A.ST,2.275169
SINCH.ST,0.97330946
SKF-B.ST,1.1937301
SWED-A.ST,2.0438054
TEL2-B.ST,1.2428792
TELIA.ST,1.0165259
VOLV-B.ST,5.131273
